itemid,name,description,price_base,price_display,cover_picture_url,calories,fat_g,protein_g,carb_g,fiber_g,sugar_g,cholesterol_mg,sodium_mg,section,section_schedule_name,section_scheduleids,item_scheduleids,manual_online_datetime,currently_available
6200633,Espresso,A concentrated drink made with specially roasted coffee beans,0,335,,5,0,0,0,0,0,0,0,Cafe Drinks,DS23 Cafe Cadence Lunch and Dinner MO,"[14911, 14912]",[],,True
6200631,Chai Latte,Freshly brewed black tea warming spices a hint of sweetness and extra frothy milk,0,525,,270,0,0,0,0,21,0,0,Cafe Drinks,DS23 Cafe Cadence Lunch and Dinner MO,"[14911, 14912]",[],,True
6200629,Cappuccino,Espresso-based coffee drink that is traditionally prepared with steamed milk foam,0,525,,130,0,0,0,0,10,0,0,Cafe Drinks,DS23 Cafe Cadence Lunch and Dinner MO,"[14911, 14912]",[],,True
6200636,Hot Coffee,Hot Coffee,0,355,,5,0,0,0,2,0,0,0,Cafe Drinks,DS23 Cafe Cadence Lunch and Dinner MO,"[14911, 14912]",[],,True
6200638,Iced Coffee,Iced Coffee,0,455,,5,0,0,0,0,0,0,0,Cafe Drinks,DS23 Cafe Cadence Lunch and Dinner MO,"[14911, 14912]",[],,True
6200628,Americano,Classic espresso-style drink with a smooth and well-rounded flavor,0,425,,15,0,0,0,0,0,0,0,Cafe Drinks,DS23 Cafe Cadence Lunch and Dinner MO,"[14911, 14912]",[],,True
6200642,Lemonade,Lemonade,0,365,,130,0,0,0,0,27,0,0,Cafe Drinks,DS23 Cafe Cadence Lunch and Dinner MO,"[14911, 14912]",[],,True
6200639,Iced Tea,Iced Tea,0,405,,0,0,0,0,0,0,0,0,Cafe Drinks,DS23 Cafe Cadence Lunch and Dinner MO,"[14911, 14912]",[],,True
6200645,Churro Latte,Cold brew infused with nitrogen gas,0,520,,0,0,0,0,0,0,0,0,Cafe Drinks,DS23 Cafe Cadence Lunch and Dinner MO,"[14911, 14912]",[],,True
6200640,Italian Soda,Soft drink made from carbonated water and flavored syrup,0,385,,180,0,0,0,0,33,0,0,Cafe Drinks,DS23 Cafe Cadence Lunch and Dinner MO,"[14911, 14912]",[],,True
6200641,Latte,Coffee made with espresso and hot steamed milk,0,505,,180,0,0,0,0,17,0,0,Cafe Drinks,DS23 Cafe Cadence Lunch and Dinner MO,"[14911, 14912]",[],,True
6200644,Mocha,Chocolate-flavoured warm beverage,0,555,items/cover_item_4_4_19_1662762616406.jpg,250,0,0,0,0,34,0,0,Cafe Drinks,DS23 Cafe Cadence Lunch and Dinner MO,"[14911, 14912]",[],,True
6200632,Cold Brew,Made by steeping coffee in water for an extended period of time at a cold temperature,0,505,,5,0,0,0,0,0,0,0,Cafe Drinks,DS23 Cafe Cadence Lunch and Dinner MO,"[14911, 14912]",[],,False
6200635,Hot Chocolate,Hot Chocolate,0,395,,370,0,0,0,0,41,0,0,Cafe Drinks,DS23 Cafe Cadence Lunch and Dinner MO,"[14911, 14912]",[],,True
6200646,Steamer,Hot milk based drink,0,375,,260,0,0,0,0,19,30,0,Cafe Drinks,DS23 Cafe Cadence Lunch and Dinner MO,"[14911, 14912]",[],,True
6200643,Matcha Latte,Beverage made from finely ground green tea leaves mixed with steamed milk,0,555,,220,0,0,0,0,25,14,0,Cafe Drinks,DS23 Cafe Cadence Lunch and Dinner MO,"[14911, 14912]",[],2024-10-08 11:00:00,True
6200647,White Mocha,"A blend of espresso coffee, white chocolate, and milk",0,575,,360,0,0,0,0,58,0,0,Cafe Drinks,DS23 Cafe Cadence Lunch and Dinner MO,"[14911, 14912]",[],,True
6317296,Maple Latte,,0,550,,0,0,0,0,0,0,0,0,Cafe Drinks,DS23 Cafe Cadence Lunch and Dinner MO,"[14911, 14912]",[],,True
6200634,Peach Chamomille Tea Fog,"Apples, orange, cinnamon, cloves, nutmeg and brown sugar",650,650,,0,0,0,0,0,0,0,0,Cafe Drinks,DS23 Cafe Cadence Lunch and Dinner MO,"[14911, 14912]",[],,False
7550501,Dark Chocolate Mocha,"A warm, comforting coffee drink loaded with cinnamon and hints of brown sugar",0,600,,0,0,0,0,0,0,0,0,Cafe Drinks,DS23 Cafe Cadence Lunch and Dinner MO,"[14911, 14912]",[],2025-03-18 11:00:00,False
8656404,Havana Cappuccino,cappuccino sweetened with condensed milk topped with a sprinkle of cinnamon,0,570,,0,0,0,0,0,0,0,0,Cafe Drinks,DS23 Cafe Cadence Lunch and Dinner MO,"[14911, 14912]",[],,True
