itemid,scheduleid,section,section_schedule_name
6216732,14949,The Fire Grill,DS23 MP The Fire Grill MO
6993572,14949,The Fire Grill,DS23 MP The Fire Grill MO
7333939,14949,The Fire Grill,DS23 MP The Fire Grill MO
7333940,14949,The Fire Grill,DS23 MP The Fire Grill MO
8095531,14949,The Fire Grill,DS23 MP The Fire Grill MO
8688947,14949,The Fire Grill,DS23 MP The Fire Grill MO
6216730,14949,The Fire Grill,DS23 MP The Fire Grill MO
6216726,14949,The Fire Grill,DS23 MP The Fire Grill MO
6216728,14949,The Fire Grill,DS23 MP The Fire Grill MO
6216727,14949,The Fire Grill,DS23 MP The Fire Grill MO
6216731,14949,The Fire Grill,DS23 MP The Fire Grill MO
6216733,14949,The Fire Grill,DS23 MP The Fire Grill MO
6216729,14949,The Fire Grill,DS23 MP The Fire Grill MO
6317253,14949,The Fire Grill,DS23 MP The Fire Grill MO
6182028,14949,The Fire Grill,DS23 MP The Fire Grill MO
7884438,14949,The Fire Grill Allergen,DS23 MP The Fire Grill MO
8619487,14949,The Fire Grill Allergen,DS23 MP The Fire Grill MO
8619488,14949,The Fire Grill Allergen,DS23 MP The Fire Grill MO
8619489,14949,The Fire Grill Allergen,DS23 MP The Fire Grill MO
8619490,14949,The Fire Grill Allergen,DS23 MP The Fire Grill MO
6216728,14951,The Fire Grill Late Night,
6216732,14951,The Fire Grill Late Night,
6216731,14951,The Fire Grill Late Night,
6216727,14951,The Fire Grill Late Night,
6216729,14951,The Fire Grill Late Night,
6216730,14951,The Fire Grill Late Night,
6989635,14951,The Fire Grill Late Night,
6989636,14951,The Fire Grill Late Night,
6993572,14951,The Fire Grill Late Night,
7523023,14951,The Fire Grill Late Night,
7523024,14951,The Fire Grill Late Night,
8773394,14951,The Fire Grill Late Night,
8064607,14949,The Fire Grill - Student Tour Groups,DS23 MP The Fire Grill MO
8064608,14949,The Fire Grill - Student Tour Groups,DS23 MP The Fire Grill MO
8674798,14949,The Fire Grill Value Menu,DS23 MP The Fire Grill MO
8674800,14949,The Fire Grill Value Menu,DS23 MP The Fire Grill MO
