itemid,name,description,price_base,price_display,cover_picture_url,calories,fat_g,protein_g,carb_g,fiber_g,sugar_g,cholesterol_mg,sodium_mg,section,section_schedule_name,section_scheduleids,item_scheduleids,manual_online_datetime,currently_available
6216732,Grilled Cheese Sandwich,Grilled Cheese Sandwich,850,850,,370,19,13,36,1,3,35,1010,The Fire Grill,DS23 MP The Fire Grill MO,[14949],[],,True
6993572,Mozzarella Cheese Sticks,,899,899,,420,21,21,35,2,4,50,1690,The Fire Grill,DS23 MP The Fire Grill MO,[14949],[],2025-04-25 11:00:00,False
7333939,Chicken Rice Bowl,,1430,1430,,440,16,43,31,4,5,135,390,The Fire Grill,DS23 MP The Fire Grill MO,[14949],[],2025-05-14 11:00:00,True
7333940,Salmon Rice Bowl,,1530,1530,,400,15,32,35,5,5,60,260,The Fire Grill,DS23 MP The Fire Grill MO,[14949],[],,True
8095531,Beef Patty Rice Bowl,,1265,1265,,460,24,32,26,3,3,100,115,The Fire Grill,DS23 MP The Fire Grill MO,[14949],[],2025-04-01 11:00:00,True
8688947,Crispy Spring Rolls,5 vegetable spring rolls with sweet chili sauce,1279,1279,,0,0,0,0,0,0,0,0,The Fire Grill,DS23 MP The Fire Grill MO,[14949],[],2025-04-23 11:00:00,False
6216730,4 Pc Chicken Tender with Fries,Breaded & fried chicken tenders and french fries,1299,1299,,790,52,30,50,3,0,60,1490,The Fire Grill,DS23 MP The Fire Grill MO,[14949],[],,True
6216726,A la cart,,0,599,,0,0,0,0,0,0,0,0,The Fire Grill,DS23 MP The Fire Grill MO,[14949],[],,True
6216728,BYO Burger,Build Your Own Burger,1265,1265,,0,0,0,0,0,0,0,0,The Fire Grill,DS23 MP The Fire Grill MO,[14949],[],,True
6216727,Bacon Cheeseburger Combo,"Bacon Cheeseburger, French fries, fountain soda",1499,1599,,700,36,41,52,2,6,130,950,The Fire Grill,DS23 MP The Fire Grill MO,[14949],[],,True
6216731,Fries,Fries,0,399,,0,0,0,0,0,0,0,0,The Fire Grill,DS23 MP The Fire Grill MO,[14949],[],,True
6216733,Smash Burger,"2 beef patties, Smashburger sauce, tomato, lettuce, pickles, and French Fries",1499,1499,,910,53,70,35,2,7,230,930,The Fire Grill,DS23 MP The Fire Grill MO,[14949],[],2025-03-21 11:00:00,True
6216729,Cheeseburger Combo,Cheeseburger Combo,1399,1499,,700,36,41,52,2,6,130,950,The Fire Grill,DS23 MP The Fire Grill MO,[14949],[],2024-12-14 12:00:00,True
6317253,LPs Voodoo  Burger,two grilled beef patties / provolone cheese / bacon / sauteed bell peppers / crispy okra / cajun aioli spread / fries,1365,1365,,0,0,0,0,0,0,0,0,The Fire Grill,DS23 MP The Fire Grill MO,[14949],[],2025-04-01 11:00:00,False
6182028,Fountain Soda,Fountain Soda,250,250,items/cover_item_4_4_2504_1660776016583.jpg,0,0,0,0,0,0,0,0,The Fire Grill,DS23 MP The Fire Grill MO,[14949],[],,True
7884438,[Gluten Free] BYO Burger,Gluten-Free BYO Burger,1250,1250,items/cover_item_4_4_2503_1693593203426.jpg,0,0,0,0,0,0,0,0,The Fire Grill Allergen,DS23 MP The Fire Grill MO,[14949],[],,True
8619487,Grilled Chicken Breast,Grilled Chicken Breast,591,591,items/cover_item_4_4_2503_1694201422307.jpg,0,0,0,0,0,0,0,0,The Fire Grill Allergen,DS23 MP The Fire Grill MO,[14949],[],,True
8619488,Grilled Salmon Filet,Grilled Salmon Filet,908,908,items/cover_item_4_4_19_1664075389859.jpg,0,0,0,0,0,0,0,0,The Fire Grill Allergen,DS23 MP The Fire Grill MO,[14949],[],,True
8619489,Side of Brown Rice,Brown Rice,403,403,items/cover_item_4_4_2503_1726868045850.jpg,0,0,0,0,0,0,0,0,The Fire Grill Allergen,DS23 MP The Fire Grill MO,[14949],[],,True
8619490,Side of Steamed Vegetables,Side of Steamed Vegetables,0,0,items/cover_item_4_4_2503_1726868111371.jpg,0,0,0,0,0,0,0,0,The Fire Grill Allergen,DS23 MP The Fire Grill MO,[14949],[],,True
6989635,Lamb Torta,hogie roll / pepper jack / spicy mint yogurt / pickled red onions / cilantro / lamb,950,950,,0,0,0,0,0,0,0,0,The Fire Grill Late Night,,[14951],[],,True
6989636,Furikaki Corn Dog,,1299,1299,,0,0,0,0,0,0,0,0,The Fire Grill Late Night,,[14951],[],,True
7523023,Loaded Birria Tater Tots,tater tots / pulled pork / cheese/ horseradish cream sauce / pickled daikon/ green onion,900,900,,0,0,0,0,0,0,0,0,The Fire Grill Late Night,,[14951],[],,False
7523024,Chili Cheese Fries,"Rice, Chicken, Tofu, Bonito Flakes, Siracha Mayo, Vegetables",900,900,,0,0,0,0,0,0,0,0,The Fire Grill Late Night,,[14951],[],,False
8773394,Fire Late Night Special,,0,0,,0,0,0,0,0,0,0,0,The Fire Grill Late Night,,[14951],[],,False
8064607,Cheese Burger Combo,Includes fries fountain drink and a chocolate chip cookie,1500,1500,items/cover_item_4_4_2503_1694114879661.jpg,0,0,0,0,0,0,0,0,The Fire Grill - Student Tour Groups,DS23 MP The Fire Grill MO,[14949],[],,True
