itemid,scheduleid,section,section_schedule_name
6218707,14958,The Global Grill Dinner,
6218708,14958,The Global Grill Dinner,
6234367,14958,The Global Grill Dinner,
6234368,14958,The Global Grill Dinner,
6252315,14958,The Global Grill Dinner,
6252316,14958,The Global Grill Dinner,
7069396,14958,The Global Grill Dinner,
7069397,14958,The Global Grill Dinner,
8000786,14958,The Global Grill Dinner,
8151830,14958,The Global Grill Dinner,
8640425,14958,The Global Grill Dinner,
8640426,14958,The Global Grill Dinner,
8752352,14958,The Global Grill Dinner,
7256318,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
6199234,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
6199224,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
6199225,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
6199226,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
6199232,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
6199227,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
6199228,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
6199229,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
6199230,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
6199231,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
6199233,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
6234376,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
6234377,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
6252320,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
6252321,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
6317265,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
8621604,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
8761702,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
8761703,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
8761704,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
8773388,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
8773389,14960,The Global Grill Breakfast,DS23 MP The Global Grill Breakfast MO
8512130,14959,The Global Grill Lunch,
8512131,14959,The Global Grill Lunch,
6218713,14959,The Global Grill Lunch,
6218714,14959,The Global Grill Lunch,
6230594,14959,The Global Grill Lunch,
6230595,14959,The Global Grill Lunch,
6234370,14959,The Global Grill Lunch,
6234371,14959,The Global Grill Lunch,
6252319,14959,The Global Grill Lunch,
6252318,14959,The Global Grill Lunch,
8618897,14960,The Global Grill Breakfast Allergen,DS23 MP The Global Grill Breakfast MO
8618898,14960,The Global Grill Breakfast Allergen,DS23 MP The Global Grill Breakfast MO
8618899,14960,The Global Grill Breakfast Allergen,DS23 MP The Global Grill Breakfast MO
8618900,14960,The Global Grill Breakfast Allergen,DS23 MP The Global Grill Breakfast MO
8618901,14960,The Global Grill Breakfast Allergen,DS23 MP The Global Grill Breakfast MO
6199227,15121,The Global Grill Express Breakfast,
6199229,15121,The Global Grill Express Breakfast,
6199231,15121,The Global Grill Express Breakfast,
