itemid,scheduleid,section,section_schedule_name
6219055,14966,The Spice Market Lunch Specials,
6219058,14966,The Spice Market Lunch Specials,
6234352,14966,The Spice Market Lunch Specials,
6234353,14966,The Spice Market Lunch Specials,
6234354,14966,The Spice Market Lunch Specials,
6265545,14966,The Spice Market Lunch Specials,
6265546,14966,The Spice Market Lunch Specials,
8628890,14966,The Spice Market Lunch Specials,
8628891,14966,The Spice Market Lunch Specials,
8773387,14966,The Spice Market Lunch Specials,
6234360,14967,The Spice Market Dinner Specials,
6234363,14967,The Spice Market Dinner Specials,
6234366,14967,The Spice Market Dinner Specials,
6265548,14967,The Spice Market Dinner Specials,
6265549,14967,The Spice Market Dinner Specials,
8114929,14967,The Spice Market Dinner Specials,
8621578,14967,The Spice Market Dinner Specials,
8621580,14967,The Spice Market Dinner Specials,
8638030,14967,The Spice Market Dinner Specials,
8651901,14967,The Spice Market Dinner Specials,
8761696,14967,The Spice Market Dinner Specials,
8761697,14967,The Spice Market Dinner Specials,
