itemid,name,description,price_base,price_display,cover_picture_url,calories,fat_g,protein_g,carb_g,fiber_g,sugar_g,cholesterol_mg,sodium_mg,section,section_schedule_name,section_scheduleids,item_scheduleids,manual_online_datetime,currently_available
6219055,Orange Chicken,chicken breast / egg / cornstarch / canola oil / orange juice / sugar / rice vinegar / gluten free soy sauce / ginger / orange zest / chili flakes / green onion / sesame seeds / garlic jasmine rice / steamed bok choy,1679,1679,,0,0,0,0,0,0,0,0,The Spice Market Lunch Specials,,[14966],[],2025-01-07 12:00:00,False
6219058,Orange Impossible Chicken,Impossible Chicken nuggets / egg / cornstarch / canola oil / orange juice / sugar / rice vinegar / gluten free soy sauce / ginger / orange zest / chili flakes / green onion / sesame seeds / garlic jasmine rice / steamed bok choy,1579,1579,,0,0,0,0,0,0,0,0,The Spice Market Lunch Specials,,[14966],[],,False
6234352,Lentil Dahl,lentils onion garlic ginger spices vegetable broth basmati rice,1379,1379,,0,0,0,0,0,0,0,0,The Spice Market Lunch Specials,,[14966],[],2024-03-16 11:00:00,False
6234353,Chicken 65,halal chicken thighs / garlic / ginger / paprika / curry leaves / cumin / coriander / corn starch / basmati rice / garlic naan / raita / mint chutney,1679,1679,,0,0,0,0,0,0,0,0,The Spice Market Lunch Specials,,[14966],[],,False
6234354,Tofu 65,tofu / garlic / ginger / paprika / curry leaves / cumin / coriander / corn starch / basmati rice / garlic naan / raita / mint chutney,1579,1579,,0,0,0,0,0,0,0,0,The Spice Market Lunch Specials,,[14966],[],,False
6265545,General Tso Chicken,halal chicken breast / ginger / garlic / egg / hoisin / tamari / sesame oil / green onions / corn starch / rice vinegar / sugar / oil / flour / jasmine rice / bok choy,1650,1650,,0,0,0,0,0,0,0,0,The Spice Market Lunch Specials,,[14966],[],,True
6265546,General Tso Tofu,tofu / ginger / garlic / egg / hoisin / tamari / sesame oil / green onions / corn starch / rice vinegar / sugar / oil / flour / jasmine rice / bok choy,1479,1479,,0,0,0,0,0,0,0,0,The Spice Market Lunch Specials,,[14966],[],,True
8628890,Pork Shoyu Ramen,braised pork belly / pork broth / bonito (dried tuna) / kombu / ginger / sake / mirin / gluten free soy sauce / onion / wakame seaweed / broccoli / corn / enoki mushrooms / bok choy / bamboo shoots / egg,1689,1689,,0,0,0,0,0,0,0,0,The Spice Market Lunch Specials,,[14966],[],,False
8628891,Vegetable Shoyu Ramen,veggies / miso paste / vegetable broth / kombu / ginger / sake / mirin / gluten free soy sauce / onion / wakame seaweed / broccoli / corn / enoki mushrooms / bok choy / bamboo shoots / egg,1499,1499,,0,0,0,0,0,0,0,0,The Spice Market Lunch Specials,,[14966],[],,False
8773387,Lunch Special W,,0,0,,0,0,0,0,0,0,0,0,The Spice Market Lunch Specials,,[14966],[],,False
