itemid,scheduleid,section,section_schedule_name
6204181,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204181,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204185,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204185,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204190,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204190,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204186,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204186,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204183,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204183,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204188,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204188,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204180,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204180,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204191,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204191,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204197,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204197,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204194,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204194,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204192,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204192,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204198,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204198,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204184,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204184,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204193,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204193,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204182,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204182,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204196,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204196,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204189,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204189,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204195,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204195,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
7550524,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
7550524,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204199,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204199,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
8656408,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
8656408,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
8656409,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
8656409,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
8763279,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
8763279,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
8763280,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
8763280,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
8763281,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
8763281,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6317302,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6317302,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204187,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6204187,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6317303,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
6317303,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
8069250,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
8069250,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
8339745,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
8339745,14947,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
7103828,14910,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO
