itemid,name,description,price_base,price_display,cover_picture_url,calories,fat_g,protein_g,carb_g,fiber_g,sugar_g,cholesterol_mg,sodium_mg,section,section_schedule_name,section_scheduleids,item_scheduleids,manual_online_datetime,currently_available
6171215,Chai Latte,"Freshly brewed black tea, warming spices, a hint of sweetness, and extra frothy milk",0,525,,0,0,0,0,0,0,0,0,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO,"[14823, 14894]",[],2025-01-29 12:00:00,True
6171212,Americano,Classic espresso-style drink with a smooth and well-rounded flavor,0,425,,0,0,0,0,0,0,0,0,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO,"[14823, 14894]",[],2024-11-16 12:00:00,True
6171223,Iced Tea,Iced Tea,0,405,,0,0,0,0,0,0,0,0,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO,"[14823, 14894]",[],,True
6171213,Cappuccino,Espresso-based coffee drink that is traditionally prepared with steamed milk foam,0,525,,0,0,0,0,0,0,0,0,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO,"[14823, 14894]",[],,True
6171217,Espresso,,0,335,,0,0,0,0,0,0,0,0,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO,"[14823, 14894]",[],2024-11-16 12:00:00,True
6171214,Caramel Macchiato,"Latte-style beverage served hot or iced made with milk, vanilla syrup, and topped with espresso and caramel",0,555,,0,0,0,0,0,0,0,0,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO,"[14823, 14894]",[],,True
6171221,Hot Tea,Hot Tea,0,355,,0,0,0,0,0,0,0,0,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO,"[14823, 14894]",[],,True
6171220,Hot Coffee,Hot Coffee,0,355,,0,0,0,0,0,0,0,0,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO,"[14823, 14894]",[],2025-04-22 11:00:00,True
6171216,Cold Brew,Steeped coffee in water for an extended period of time at a cold temperature,0,505,,0,0,0,0,0,0,0,0,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO,"[14823, 14894]",[],2025-05-13 11:00:00,True
6171219,Hot Chocolate,Hot Chocolate,0,395,,0,0,0,0,0,0,0,0,Drinks,DS23 Cafe Mission Bakery Lunch and Dinner MO,"[14823, 14894]",[],,True
