itemid,name,description,price_base,price_display,cover_picture_url,calories,fat_g,protein_g,carb_g,fiber_g,sugar_g,cholesterol_mg,sodium_mg,section,section_schedule_name,section_scheduleids,item_scheduleids,manual_online_datetime,currently_available
6216736,Cuban Pork Roast with Mojo Sauce,pork shoulder / garlic / onion / oregano / citrus / pepper / cumin / vinegar / olive oil / corn starch / cilantro/ jalapeno / rice / black beans,1679,1679,,0,0,0,0,0,0,0,0,Simply Oasis Dinner,,[14963],[],,False
6216737,Lamb Kebab,seasoned ground lamb / spicy adjika sauce / mixed green salad / cucumber / pickled onion / dill / wild rice pilaf / grilled broccolini,1789,1789,,0,0,0,0,0,0,0,0,Simply Oasis Dinner,,[14963],[],2025-05-18 11:00:00,False
6234449,Grilled Flank Steak,flank steak / chicken stock / olive oil / sea salt / tomato / carrot / celery / red wine / roasted Brussels sprouts / sweet pea mash,1699,1699,,0,0,0,0,0,0,0,0,Simply Oasis Dinner,,[14963],[],,False
6234450,Braised Jack Fruit,jack fruit / vegetable stock / tomato / carrot / celery / onion / garlic / roasted Brussels sprouts / sweet pea mash,1369,1369,,0,0,0,0,0,0,0,0,Simply Oasis Dinner,,[14963],[],,False
6252339,Roasted Leg of Lamb with Gremolata Sauce,halal leg of lamb / parsley / garlic / shallot / lemon juice / capers / olive oil / radicchio salad / roasted fingerling potatoes,1699,1699,,0,0,0,0,0,0,0,0,Simply Oasis Dinner,,[14963],[],,True
7338562,Grilled Vegetable Involtini,grilled vegetables / bell pepper coulis / radicchio salad / roasted fingerling potatoes,1369,1369,,0,0,0,0,0,0,0,0,Simply Oasis Dinner,,[14963],[],,True
7338563,Beyond Meat Kebab,seasoned Beyond Meat / spicy adjika sauce / mixed green salad / cucumber / pickled onion / dill / wild rice pilaf / grilled broccolini,1479,1479,,0,0,0,0,0,0,0,0,Simply Oasis Dinner,,[14963],[],2025-01-25 12:00:00,False
8621586,House Smoked Mushrooms,mushroom medley /  house spice rub / baked beans / citrus slaw,1369,1369,,0,0,0,0,0,0,0,0,Simply Oasis Dinner,,[14963],[],,False
8621587,House Smoked Beef Brisket,beef brisket / house spice rub / baked beans / citrus slaw,1979,1979,,0,0,0,0,0,0,0,0,Simply Oasis Dinner,,[14963],[],,False
8621588,Grilled Flank Steak with Salsa Verde,flank steak / salsa verde (olive oil / garlic / onion / parsley / oregano / red wine vinegar / chilies) / roasted Brussels Sprouts / polenta,1789,1789,,0,0,0,0,0,0,0,0,Simply Oasis Dinner,,[14963],[],2025-04-27 11:00:00,False
8621589,Roasted Porchetta,rolled pork belly / fresh herbs / mirepoix / polenta / grilled rappini,1799,1799,,0,0,0,0,0,0,0,0,Simply Oasis Dinner,,[14963],[],,False
8621590,Cauliflower Steak with Mojo Sauce,roasted cauliflower / garlic / onion / oregano / citrus / pepper / cumin / vinegar / olive oil / cilantro / parsley / jalapeno / jalapeno / rice / black beans,1379,1379,,0,0,0,0,0,0,0,0,Simply Oasis Dinner,,[14963],[],,False
