itemid,name,description,price_base,price_display,cover_picture_url,calories,fat_g,protein_g,carb_g,fiber_g,sugar_g,cholesterol_mg,sodium_mg,section,section_schedule_name,section_scheduleids,item_scheduleids,manual_online_datetime,currently_available
6164631,Lemonade,Lemonade,0,365,,130,0,0,0,0,27,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,True
8345834,Blackberry London Fog,,0,550,,0,0,0,0,0,0,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,False
6164629,Latte,A type of coffee made with espresso and hot steamed milk,0,505,,180,0,0,0,2,17,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2024-04-12 11:00:00,True
6164601,Caramel Macchiato,"Latte-style beverage served hot or iced made with milk, vanilla syrup, and topped with espresso and caramel",0,555,,200,0,0,0,0,32,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2024-04-12 11:00:00,True
6164624,Hot Coffee,Hot Coffee,0,355,,0,0,0,0,0,0,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2024-04-12 11:00:00,True
6164625,Hot Tea,Hot Tea,0,355,,0,0,0,0,0,0,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,True
6164645,Steamer,Hot milk based drink,0,375,,260,0,0,0,0,19,30,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2024-04-12 11:00:00,True
6164590,Americano,Classic espresso-style drink with a smooth and well-rounded flavor,0,425,,15,0,0,0,0,0,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2024-04-12 11:00:00,True
8656410,Havana Cappuccino,cappuccino sweetened with condensed milk topped with a sprinkle of cinnamon,0,570,,0,0,0,0,0,0,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,True
6164633,Mocha,Chocolate-flavoured warm beverage,0,555,,250,0,0,0,0,34,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2024-02-23 12:00:00,True
7551606,Dark Chocolate Mocha,Snickerdoodle Latte,0,600,,0,0,0,0,0,0,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,False
6164600,Cappuccino,Espresso-based coffee drink that is traditionally prepared with steamed milk foam,0,525,,130,0,0,0,0,10,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2024-04-12 11:00:00,True
8656411,Peppermint White Mocha,,0,570,,0,0,0,0,0,0,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,False
6317300,Maple Latte,,0,550,,0,0,0,0,0,0,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,True
8763288,The Lexington,,0,625,,0,0,0,0,0,0,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,False
6164622,Peach Chamomille Tea Fog,"Apples, orange, cinnamon, cloves, nutmeg and brown sugar",650,650,,0,0,0,0,0,0,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2024-04-11 11:00:00,False
8763289,The Manila,,0,625,,0,0,0,0,0,0,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,False
8763290,The Tokyo,,0,625,,0,0,0,0,0,0,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,False
6164632,Matcha Latte,Made from finely ground green tea leaves mixed with steamed milk,0,555,,220,0,0,0,0,25,20,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,True
6706136,Bronco Take Away Coffee - 96oz,Bronco Take Away Coffee - 96oz,4500,4500,,0,0,0,0,0,0,0,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,False
6317299,Lodon Fog,1 shot of espresso with Monin Praline syrup and steamed milk,0,525,,180,0,0,0,0,29,15,0,Cafe Drinks,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2024-03-08 12:00:00,False
6164655,Whole Fruit,"Apple, Orange, or Banana",99,99,,70,0,2,32,3,27,0,30,Fruit and Fruit Cup,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,True
6164615,Extra PC Cream Cheese,Extra PC Cream Cheese,97,97,,0,0,0,0,0,0,0,0,Fruit and Fruit Cup,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2024-03-08 12:00:00,True
6164616,Fruit cup (12oz),"Honeydew, cantaloupe, pineapple, strawberries",555,555,,0,0,0,0,0,0,0,0,Fruit and Fruit Cup,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-01-25 12:00:00,True
8773395,Soup,,504,504,,0,0,0,0,0,0,0,0,Fruit and Fruit Cup,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,False
6164594,Bagel with Cream Cheese,Bagel with Cream Cheese,385,385,,0,0,0,0,0,0,0,0,Pastries and Baked Goods,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,True
6164610,Danish,Danish,460,460,,0,0,0,0,0,0,0,0,Pastries and Baked Goods,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-05-17 11:00:00,True
6164643,Scone,Scone,415,415,,0,0,0,0,0,0,0,0,Pastries and Baked Goods,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-05-16 11:00:00,True
6164644,Sliced Bread,,460,460,,0,0,0,0,0,0,0,0,Pastries and Baked Goods,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-05-17 11:00:00,True
6164637,Muffin,Muffin,380,380,,0,0,0,0,0,0,0,0,Pastries and Baked Goods,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-05-16 11:00:00,True
6164611,Donut,Donut,299,299,,0,0,0,0,0,0,0,0,Pastries and Baked Goods,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,True
6164608,Cookies,Cookies,299,299,,0,0,0,0,0,0,0,0,Pastries and Baked Goods,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,True
6164595,Bagel without Cream Cheese,Bagel without Cream Cheese,285,285,,0,0,0,0,0,0,0,0,Pastries and Baked Goods,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-05-07 11:00:00,True
6164591,Apple Fritter,"Deep fried donut filled with apples, and cinnamon and drizzled with glaze",335,335,,0,0,0,0,0,0,0,0,Pastries and Baked Goods,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-05-20 11:00:00,True
6164598,Brownie,,445,445,,0,0,0,0,0,0,0,0,Pastries and Baked Goods,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-05-17 11:00:00,True
6164599,Butter Croissant,Butter Croissant,430,430,,0,0,0,0,0,0,0,0,Pastries and Baked Goods,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-05-20 11:00:00,True
6164609,Cupcake,Cupcake,335,335,,0,0,0,0,0,0,0,0,Pastries and Baked Goods,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,False
6164604,Chocolate Croissant,Chocolate Croissant,470,470,,0,0,0,0,0,0,0,0,Pastries and Baked Goods,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-05-20 11:00:00,True
6164605,Cinnamon Twist Croissant,buttery croissant split and filled with a wild blueberry filling and a sweet crunchy streusel,445,445,,0,0,0,0,0,0,0,0,Pastries and Baked Goods,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-05-14 11:00:00,False
6164641,Rice Krispies,Rice Krispie treat,255,255,,0,0,0,0,0,0,0,0,Pastries and Baked Goods,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,False
6164619,Ham and Cheese Croissant,Ham and Cheese Croissant,505,505,,0,0,0,0,0,0,0,0,Pastries and Baked Goods,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-05-20 11:00:00,False
6164634,Morning Bun,Flaky croissant dough rolled with cinnamon brown sugar and a hint of range.,445,445,,0,0,0,0,0,0,0,0,Pastries and Baked Goods,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],2025-05-20 11:00:00,True
7754498,Pizzetta - Tomato Cheese,Tomato Cheese Pizzetta,599,599,,0,0,0,0,0,0,0,0,Pastries and Baked Goods,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,False
7754499,Pizzetta - Zucchini Tomato,Pizzetta - Zucchini Tomato,599,599,,0,0,0,0,0,0,0,0,Pastries and Baked Goods,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942, 18943]",[],,False
8679919,The Temptation,strawberries / banana/ cocoa powder/ dark chocolate sauce / coconut milk,765,765,,0,0,0,0,0,0,0,0,Smoothies,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942]",[],,False
8679920,Creamy Strawberries,strawberries / coconut cream / vanilla yogurt / agave,765,765,,0,0,0,0,0,0,0,0,Smoothies,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942]",[],2025-01-31 12:00:00,True
8679917,Peach on the Beach,,738,738,,0,0,0,0,0,0,0,0,Smoothies,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942]",[],,False
8679918,Strawnana,banana / strawberry / apple juice,765,765,,0,0,0,0,0,0,0,0,Smoothies,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942]",[],2025-05-07 11:00:00,True
8679914,Caffeine kick,,850,850,,0,0,0,0,0,0,0,0,Smoothies,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942]",[],,False
8679915,Mango delight,mango / pineapple / coconut milk / coconut cream / agave,765,765,,0,0,0,0,0,0,0,0,Smoothies,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942]",[],2025-01-31 12:00:00,True
8679916,Mango Magic,,738,738,,0,0,0,0,0,0,0,0,Smoothies,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942]",[],,False
8679921,Tropical Matcha Smoothie,,745,745,,0,0,0,0,0,0,0,0,Smoothies,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18940, 18941, 18942]",[],2025-05-07 11:00:00,True
8679926,Matcha,,750,750,,0,0,0,0,0,0,0,0,Boba,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18941, 18942, 18943]",[],,True
8679929,Green Thai Tea,green thai tea leaves / condensed milk / sugar cane / your choice of whole milk or oat milk,725,725,,0,0,0,0,0,0,0,0,Boba,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18941, 18942, 18943]",[],2025-02-22 12:00:00,False
8679922,Calamansi Lemon Green Tea,,700,700,,0,0,0,0,0,0,0,0,Boba,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18941, 18942, 18943]",[],,False
8679927,Oreo Brulee Jade,delightful blend that combines the rich flavors of creamy jade matcha with the indulgence of crushed Oreo cookies and creme brulee.,750,750,,0,0,0,0,0,0,0,0,Boba,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18941, 18942, 18943]",[],,False
8679923,House special milk tea,cold brew black tea / condensed milk / sugar cane / brown sugar boba / your choice of whole milk or oat milk,725,725,,0,0,0,0,0,0,0,0,Boba,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18941, 18942, 18943]",[],,False
8679924,Lychee Green Tea,cold brew Jasmine green tea / lychee syrup / lychee bits,725,725,,0,0,0,0,0,0,0,0,Boba,DS23 SCDI Fresh Bytes Pre Dinner M F MO,"[18941, 18942, 18943]",[],,True
