itemid,scheduleid,section,section_schedule_name
7249291,14961,The Slice Lunch Specials,
7111879,14961,The Slice Lunch Specials,
8512134,14961,The Slice Lunch Specials,
8621606,14961,The Slice Lunch Specials,
8628888,14961,The Slice Lunch Specials,
8628889,14961,The Slice Lunch Specials,
8761682,14961,The Slice Lunch Specials,
8761683,14961,The Slice Lunch Specials,
8761684,14961,The Slice Lunch Specials,
8761685,14961,The Slice Lunch Specials,
8761686,14961,The Slice Lunch Specials,
8773380,14961,The Slice Lunch Specials,
8773381,14961,The Slice Lunch Specials,
8773382,14961,The Slice Lunch Specials,
6219626,14961,The Slice Lunch Specials,
6219635,14961,The Slice Lunch Specials,
6219636,14961,The Slice Lunch Specials,
6219641,14961,The Slice Lunch Specials,
6219642,14961,The Slice Lunch Specials,
6219621,14961,The Slice Lunch Specials,
7249291,14962,The Slice Dinner Specials,
6219621,14962,The Slice Dinner Specials,
6219626,14962,The Slice Dinner Specials,
6219635,14962,The Slice Dinner Specials,
6219636,14962,The Slice Dinner Specials,
6219641,14962,The Slice Dinner Specials,
6219642,14962,The Slice Dinner Specials,
8391562,14962,The Slice Dinner Specials,
8621606,14962,The Slice Dinner Specials,
8628888,14962,The Slice Dinner Specials,
8628889,14962,The Slice Dinner Specials,
8761689,14962,The Slice Dinner Specials,
8761690,14962,The Slice Dinner Specials,
8761691,14962,The Slice Dinner Specials,
8761692,14962,The Slice Dinner Specials,
8761693,14962,The Slice Dinner Specials,
8773383,14962,The Slice Dinner Specials,
8773385,14962,The Slice Dinner Specials,
8674741,14961,The Slice Value Menu,
8674741,14962,The Slice Value Menu,
8674738,14961,The Slice Value Menu,
8674738,14962,The Slice Value Menu,
8674739,14961,The Slice Value Menu,
8674739,14962,The Slice Value Menu,
8674740,14961,The Slice Value Menu,
8674740,14962,The Slice Value Menu,
8674787,14961,The Slice Value Menu,
8674787,14962,The Slice Value Menu,
8761687,14961,The Slice - Student Tour Groups,
8761688,14961,The Slice - Student Tour Groups,
6219622,14961,The Slice Allergen,
6219622,14962,The Slice Allergen,
6219623,14961,The Slice Allergen,
6219623,14962,The Slice Allergen,
6700992,15229,Late Night,
6219635,15229,Late Night,
6219636,15229,Late Night,
6219622,15229,Late Night,
6219623,15229,Late Night,
