itemid,scheduleid,section,section_schedule_name
6164593,18940,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164593,18941,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164593,18942,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164593,18943,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164613,18940,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164613,18941,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164613,18942,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164613,18943,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164596,18940,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164596,18941,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164596,18942,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164596,18943,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164603,18940,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164603,18941,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164603,18942,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164603,18943,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164617,18940,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164617,18941,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164617,18942,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164617,18943,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164620,18940,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164620,18941,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164620,18942,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164620,18943,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164621,18940,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164621,18941,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164621,18942,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164621,18943,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164639,18940,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164639,18941,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164639,18942,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
6164639,18943,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
8438657,18940,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
8438657,18941,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
8438657,18942,Breakfast Grab n Go,DS23 SCDI Fresh Bytes Pre Dinner M F MO
