restaurant,itemid,option_group,max_select,value,value_price_c
mobileorderprodapi.transactcampus.com,8114509,BYO Protein,1,Chicken,0
mobileorderprodapi.transactcampus.com,8114509,BYO Protein,1,Tofu,0
mobileorderprodapi.transactcampus.com,8114509,BYO Protein,1,Al Pastor,0
mobileorderprodapi.transactcampus.com,8114509,BYO Options,50,Beans,0
mobileorderprodapi.transactcampus.com,8114509,BYO Options,50,Cotija Cheese,0
mobileorderprodapi.transactcampus.com,8114509,BYO Options,50,Guacamole,0
mobileorderprodapi.transactcampus.com,8114509,BYO Options,50,None,0
mobileorderprodapi.transactcampus.com,8114509,BYO Options,50,Pickled Onions,0
mobileorderprodapi.transactcampus.com,8114509,BYO Options,50,Pico De Gallo,0
mobileorderprodapi.transactcampus.com,8114509,BYO Options,50,Sour Cream,0
mobileorderprodapi.transactcampus.com,6218677,Tortilla,1,Flour Tortilla,0
mobileorderprodapi.transactcampus.com,6218677,Tortilla,1,Whole Wheat Tortilla,0
mobileorderprodapi.transactcampus.com,6218677,Protein,1,Carne Asada,195
mobileorderprodapi.transactcampus.com,6218677,Protein,1,Chicken,0
mobileorderprodapi.transactcampus.com,6218677,Protein,1,Chili Verde Tofu,0
mobileorderprodapi.transactcampus.com,6218677,Protein,1,No Protein,0
mobileorderprodapi.transactcampus.com,6218677,Protein,1,Pork,0
mobileorderprodapi.transactcampus.com,6218677,Extra Protein,50,Extra Carne Asada,205
mobileorderprodapi.transactcampus.com,6218677,Extra Protein,50,Extra Chicken,205
mobileorderprodapi.transactcampus.com,6218677,Extra Protein,50,Extra Pork,205
mobileorderprodapi.transactcampus.com,6218677,Extra Protein,50,Extra Tofu,205
mobileorderprodapi.transactcampus.com,6218677,Options,50,Sour Cream,50
mobileorderprodapi.transactcampus.com,6218677,Options,50,Four Cheese Blend,0
mobileorderprodapi.transactcampus.com,6218677,Options,50,Guacamole,195
mobileorderprodapi.transactcampus.com,6218677,Options,50,Pico De Gallo,0
mobileorderprodapi.transactcampus.com,6218676,Protein,1,Carne Asada,195
mobileorderprodapi.transactcampus.com,6218676,Protein,1,Chicken,0
mobileorderprodapi.transactcampus.com,6218676,Protein,1,Chili Verde Tofu,0
mobileorderprodapi.transactcampus.com,6218676,Protein,1,No Protein,0
mobileorderprodapi.transactcampus.com,6218676,Protein,1,Pork,0
mobileorderprodapi.transactcampus.com,6218676,Extra Protein,50,Extra Carne Asada,205
mobileorderprodapi.transactcampus.com,6218676,Extra Protein,50,Extra Chicken,205
mobileorderprodapi.transactcampus.com,6218676,Extra Protein,50,Extra Pork,205
mobileorderprodapi.transactcampus.com,6218676,Extra Protein,50,Extra Tofu,205
mobileorderprodapi.transactcampus.com,6218679,Protein Options,1,Beef,195
mobileorderprodapi.transactcampus.com,6218679,Protein Options,1,Chicken,0
mobileorderprodapi.transactcampus.com,6218679,Protein Options,1,Pork,0
mobileorderprodapi.transactcampus.com,6317262,Protein,1,Carne Asada,195
mobileorderprodapi.transactcampus.com,6317262,Protein,1,Chicken,0
mobileorderprodapi.transactcampus.com,6317262,Protein,1,Chili Verde Tofu,0
mobileorderprodapi.transactcampus.com,6317262,Protein,1,No Protein,0
mobileorderprodapi.transactcampus.com,6317262,Protein,1,Pork,0
mobileorderprodapi.transactcampus.com,6317262,Extra Protein,50,Extra Carne Asada,205
mobileorderprodapi.transactcampus.com,6317262,Extra Protein,50,Extra Chicken,205
mobileorderprodapi.transactcampus.com,6317262,Extra Protein,50,Extra Pork,205
mobileorderprodapi.transactcampus.com,6317262,Extra Protein,50,Extra Tofu,205
mobileorderprodapi.transactcampus.com,7884433,La Parilla Breakfast Protein GF,1,Apple Chicken Sausage,0
mobileorderprodapi.transactcampus.com,7884433,La Parilla Breakfast Protein GF,1,Bacon,0
mobileorderprodapi.transactcampus.com,7884433,La Parilla Breakfast Protein GF,1,Chorizo,0
mobileorderprodapi.transactcampus.com,7884433,La Parilla Breakfast Options GF,50,Montery Jack Cheddar Cheese,0
mobileorderprodapi.transactcampus.com,7884433,La Parilla Breakfast Options GF,50,Scrambled Eggs,0
mobileorderprodapi.transactcampus.com,7884433,La Parilla Breakfast Options GF,50,Tater Tots,0
mobileorderprodapi.transactcampus.com,8064589,Burrito Combos Topping Options,50,Beans,0
mobileorderprodapi.transactcampus.com,8064589,Burrito Combos Topping Options,50,Cheese,0
mobileorderprodapi.transactcampus.com,8064589,Burrito Combos Topping Options,50,Lettuce,0
mobileorderprodapi.transactcampus.com,8064589,Burrito Combos Topping Options,50,Rice,0
mobileorderprodapi.transactcampus.com,8064589,Burrito Combos Topping Options,50,Guacamole,195
mobileorderprodapi.transactcampus.com,8064589,Burrito Combos Topping Options,50,Sour Cream,50
mobileorderprodapi.transactcampus.com,8064589,Burrito Combos Protein Options,1,Beef,195
mobileorderprodapi.transactcampus.com,8064589,Burrito Combos Protein Options,1,Chicken,0
mobileorderprodapi.transactcampus.com,8064590,Burrito Combos Topping Options,50,Beans,0
mobileorderprodapi.transactcampus.com,8064590,Burrito Combos Topping Options,50,Cheese,0
mobileorderprodapi.transactcampus.com,8064590,Burrito Combos Topping Options,50,Lettuce,0
mobileorderprodapi.transactcampus.com,8064590,Burrito Combos Topping Options,50,Rice,0
mobileorderprodapi.transactcampus.com,8064590,Burrito Combos Topping Options,50,Guacamole,195
mobileorderprodapi.transactcampus.com,8064590,Burrito Combos Topping Options,50,Sour Cream,50
mobileorderprodapi.transactcampus.com,8064590,Tortilla,1,Flour Tortilla,0
mobileorderprodapi.transactcampus.com,8064590,Tortilla,1,Whole Wheat Tortilla,0
mobileorderprodapi.transactcampus.com,8064590,Burrito Combos Protein Options,1,Beef,195
mobileorderprodapi.transactcampus.com,8064590,Burrito Combos Protein Options,1,Chicken,0
mobileorderprodapi.transactcampus.com,7884435,La Parilla Lunch & Dinner Protein GF,1,Carne Asada,195
mobileorderprodapi.transactcampus.com,7884435,La Parilla Lunch & Dinner Protein GF,1,Chicken,0
mobileorderprodapi.transactcampus.com,7884435,La Parilla Lunch & Dinner Protein GF,1,No Protein,0
mobileorderprodapi.transactcampus.com,7884435,La Parilla Lunch & Dinner Protein GF,1,Pork,0
mobileorderprodapi.transactcampus.com,7884436,La Parilla Lunch & Dinner Protein GF,1,Carne Asada,195
mobileorderprodapi.transactcampus.com,7884436,La Parilla Lunch & Dinner Protein GF,1,Chicken,0
mobileorderprodapi.transactcampus.com,7884436,La Parilla Lunch & Dinner Protein GF,1,No Protein,0
mobileorderprodapi.transactcampus.com,7884436,La Parilla Lunch & Dinner Protein GF,1,Pork,0
mobileorderprodapi.transactcampus.com,6218673,Tortilla,1,Flour Tortilla,0
mobileorderprodapi.transactcampus.com,6218673,Tortilla,1,Whole Wheat Tortilla,0
mobileorderprodapi.transactcampus.com,6218673,Protein,1,Carne Asada,195
mobileorderprodapi.transactcampus.com,6218673,Protein,1,Chicken,0
mobileorderprodapi.transactcampus.com,6218673,Protein,1,Chili Verde Tofu,0
mobileorderprodapi.transactcampus.com,6218673,Protein,1,No Protein,0
mobileorderprodapi.transactcampus.com,6218673,Protein,1,Pork,0
mobileorderprodapi.transactcampus.com,6218673,Extra Protein,50,Extra Carne Asada,205
mobileorderprodapi.transactcampus.com,6218673,Extra Protein,50,Extra Chicken,205
mobileorderprodapi.transactcampus.com,6218673,Extra Protein,50,Extra Pork,205
mobileorderprodapi.transactcampus.com,6218673,Extra Protein,50,Extra Tofu,205
mobileorderprodapi.transactcampus.com,6218673,Options,50,Guacamole,195
mobileorderprodapi.transactcampus.com,6218673,Options,50,Mayocoba Beans,0
mobileorderprodapi.transactcampus.com,6218673,Options,50,Pico De Gallo,0
mobileorderprodapi.transactcampus.com,6218673,Options,50,Rice,0
mobileorderprodapi.transactcampus.com,6218673,Options,50,Shredded Lettuce,0
mobileorderprodapi.transactcampus.com,6218673,Options,50,Black Beans,0
mobileorderprodapi.transactcampus.com,6218673,Options,50,Sour Cream,50
mobileorderprodapi.transactcampus.com,6218673,Cheese Options,1,Cheese,0
mobileorderprodapi.transactcampus.com,6218673,Cheese Options,1,No Cheese,0
mobileorderprodapi.transactcampus.com,6219262,Protein,1,Carne Asada,195
mobileorderprodapi.transactcampus.com,6219262,Protein,1,Chicken,0
mobileorderprodapi.transactcampus.com,6219262,Protein,1,Chili Verde Tofu,0
mobileorderprodapi.transactcampus.com,6219262,Protein,1,No Protein,0
mobileorderprodapi.transactcampus.com,6219262,Protein,1,Pork,0
mobileorderprodapi.transactcampus.com,6219262,Extra Protein,50,Extra Carne Asada,205
mobileorderprodapi.transactcampus.com,6219262,Extra Protein,50,Extra Chicken,205
mobileorderprodapi.transactcampus.com,6219262,Extra Protein,50,Extra Pork,205
mobileorderprodapi.transactcampus.com,6219262,Extra Protein,50,Extra Tofu,205
mobileorderprodapi.transactcampus.com,6219262,Options,50,Guacamole,195
mobileorderprodapi.transactcampus.com,6219262,Options,50,Mayocoba Beans,0
mobileorderprodapi.transactcampus.com,6219262,Options,50,Pico De Gallo,0
mobileorderprodapi.transactcampus.com,6219262,Options,50,Rice,0
mobileorderprodapi.transactcampus.com,6219262,Options,50,Shredded Lettuce,0
mobileorderprodapi.transactcampus.com,6219262,Options,50,Black Beans,0
mobileorderprodapi.transactcampus.com,6219262,Options,50,Sour Cream,50
mobileorderprodapi.transactcampus.com,6219262,Cheese Options,1,Cheese,0
mobileorderprodapi.transactcampus.com,6219262,Cheese Options,1,No Cheese,0
mobileorderprodapi.transactcampus.com,8674788,Tortilla,1,Flour Tortilla,0
mobileorderprodapi.transactcampus.com,8674788,Tortilla,1,Whole Wheat Tortilla,0
mobileorderprodapi.transactcampus.com,8674788,Options - Value Menu,50,Black Beans,0
mobileorderprodapi.transactcampus.com,8674788,Options - Value Menu,50,Guacamole,195
mobileorderprodapi.transactcampus.com,8674788,Options - Value Menu,50,Pinto Beans,0
