itemid,name,description,price_base,price_display,cover_picture_url,calories,fat_g,protein_g,carb_g,fiber_g,sugar_g,cholesterol_mg,sodium_mg,section,section_schedule_name,section_scheduleids,item_scheduleids,manual_online_datetime,currently_available
6204181,Cappuccino,Classic espresso-style drink with a smooth and well-rounded flavor,0,525,,130,0,0,0,0,10,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],2024-03-02 12:00:00,True
6204185,Espresso,Concentrated drink made with specially roasted coffee beans,0,335,,5,0,0,0,0,0,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],2024-03-02 12:00:00,True
6204190,Iced Coffee,Iced Coffee,0,455,,5,0,0,0,0,0,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],,False
6204186,Peach Chamomille Tea Fog,"Apples, orange, cinnamon, cloves, nutmeg and brown sugar",650,650,,0,0,0,0,0,0,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],,False
6204183,Chai Latte,Freshly brewed black tea warming spices a hint of sweetness and extra frothy milk,0,525,,270,0,0,0,0,21,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],2025-01-31 12:00:00,True
6204188,Hot Coffee,Hot Coffee,0,355,,0,0,0,0,0,0,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],,True
6204180,Americano,Classic espresso-style drink with a smooth and well-rounded flavor,0,425,,0,0,0,15,0,0,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],2024-03-02 12:00:00,True
6204191,Iced Tea,Iced Tea,0,405,,0,0,0,0,0,0,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],2024-06-10 11:00:00,True
6204197,Churro Latte,Cold brew infused with nitrogen gas,0,520,,0,0,0,0,0,0,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],2024-11-12 12:00:00,False
6204194,Lemonade,Lemonade,0,365,,130,0,0,0,0,27,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],,True
6204192,Italian Soda,Soft drink made from carbonated water and flavored syrup,0,385,,180,0,0,0,0,33,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],,True
6204198,Steamer,Steamed milk,0,375,,220,0,0,0,0,19,30,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],,True
6204184,Cold Brew,Made by steeping coffee in water for an extended period of time at a cold temperature,0,505,,15,0,0,0,0,0,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],2025-05-03 11:00:00,True
6204193,Latte,Coffee made with espresso and hot steamed milk,0,505,,180,0,0,0,0,17,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],2024-03-02 12:00:00,True
6204182,Caramel Macchiato,"Latte-style beverage served hot or iced made with milk, vanilla syrup, and topped with espresso and caramel",0,555,,0,0,0,200,0,32,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],2024-03-02 12:00:00,True
6204196,Mocha,Chocolate-flavoured warm beverage,0,555,,250,0,0,0,0,34,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],2024-03-02 12:00:00,True
6204189,Hot Tea,Hot Tea,0,355,,0,0,0,0,0,0,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],,True
6204195,Matcha Latte,Beverage made from finely ground green tea leaves mixed with steamed milk,0,555,,220,0,0,0,0,25,20,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],2025-03-11 11:00:00,True
7550524,Dark Chocolate Mocha,"A warm, comforting coffee drink loaded with cinnamon and hints of brown sugar",0,600,,0,0,0,0,0,0,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],2024-11-12 12:00:00,False
6204199,White Mocha,"A blend of espresso coffee, white chocolate, and milk",0,575,,360,0,0,0,0,60,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],2024-03-02 12:00:00,True
8656408,Havana Cappuccino,cappuccino sweetened with condensed milk topped with a sprinkle of cinnamon,0,570,,0,0,0,0,0,0,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],2024-11-12 12:00:00,True
8656409,Peppermint White Mocha,,0,570,,0,0,0,0,0,0,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],2024-11-12 12:00:00,False
8763279,The Lexington,,0,625,,0,0,0,0,0,0,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],,True
8763280,The Manila,,0,625,,0,0,0,0,0,0,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],,True
8763281,The Tokyo,,0,625,,0,0,0,0,0,0,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],,True
6317302,Lodon Fog,,0,525,,0,180,0,0,0,29,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],,False
6204187,Hot Chocolate,Hot Chocolate,0,395,,0,0,0,370,0,41,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],,True
6317303,Maple Latte,Lavender Cream Matcha,0,550,,0,0,0,0,0,0,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],2025-01-31 12:00:00,False
8069250,Refresher,Refresher,0,665,,140,0,0,0,0,21,0,0,Drinks,DS23 Cafe Sunstream Lunch and Dinner MO,"[14910, 14947]",[],,False
